orcid,display_name,affiliation,country,works_in_review
0000-0003-1096-7074,Di Wu,Nanjing University of Posts and Telecommunications,CN,1
,Steffen Lohmann,University of Duisburg-Essen,DE,1
,David Noack,Technical University of Darmstadt,DE,1
0000-0002-3816-9827,Rifka Fachrunnisa,State University of Malang,ID,1
,Ahmad D. Suleiman,Rochester Institute of Technology,US,1
0000-0002-2319-1570,Carlo Geraci,Institut Jean Nicod,FR,1
,Iskan Mustamir,Universitas Gadjah Mada,ID,1
,E. Sax,FZI Research Center for Information Technology,DE,1
0000-0001-6391-7439,Kasiyah Junus,University of Indonesia,ID,1
0000-0002-8668-2764,Peter Newman,Curtin University,AU,1
0000-0001-5659-1311,Peichun Li,Guangdong University of Technology,CN,1
0000-0002-3514-3525,Lutfi Fanani,University of Brawijaya,ID,1
0000-0003-4775-0338,Charo Hodgkins,University of Surrey,GB,1
,Spoorti Barigidad,Indian Institute of Technology Dharwad,IN,1
0000-0002-2425-2689,Stefania Zinno,University of Naples Federico II,IT,1
0000-0002-6962-9806,Wensheng Su,Singapore University of Technology and Design,SG,1
,Iqbal Zunaedi,Telkom University,ID,1
0000-0001-7470-5183,Tomi Männistö,Aalto University,FI,1
0000-0003-3919-030X,Ivan Koychev,Sofia University "St. Kliment Ohridski",BG,1
0000-0002-9897-6962,Yugo Kartono Isal,University of Indonesia,ID,1
,Tim Hakenberg,Rottenburg University of Applied Forest Sciences,DE,1
0000-0001-8401-7157,Daqing Hou,Clarkson University,US,1
0000-0001-9043-1290,Alexandros T. Tzallas,University of Ioannina,GR,1
0000-0002-1876-5082,Matthias Baldauf,Ostschweizer Fachhochschule OST,CH,1
,Jose Edgar Carabali,Universidad Autónoma de Occidente,CO,1
0009-0008-9197-0809,Kim Lauenroth,University of Duisburg-Essen,DE,1
,Will Simm,,,1
0000-0003-1062-7598,R Nikolov,,,1
0000-0001-5794-2910,Xiping Wu,University College Dublin,IE,1
0000-0002-0438-2638,Suman De,,,1
0000-0003-1022-5281,Erik Whiting,University of Houston - Clear Lake,US,1
,Sungwon Kang,Daejeon University,KR,1
0000-0002-6240-0099,Yehya Mohamad,Fraunhofer Institute for Applied Information Technology,DE,1
0000-0003-1006-7594,F. Richard Yu,Carleton University,CA,1
0000-0002-5648-9584,Marcus Trapp,Fraunhofer Institute for Experimental Software Engineering,DE,1
,Cleber Gimenez,Universidade Tecnológica Federal do Paraná,BR,1
,Asako Takada,Hosei University,JP,1
,Vito Perrone,Politecnico di Milano,IT,1
,Patrick Mennig,Fraunhofer Institute for Experimental Software Engineering,DE,1
0000-0001-8424-419X,Xiaofeng Wang,Free University of Bozen-Bolzano,IT,1
0000-0001-7410-0803,Denis Feth,Fraunhofer Institute for Experimental Software Engineering,DE,1
0000-0001-7028-3307,Declan Delaney,University College Dublin,IE,1
0000-0003-0059-3099,Michal Pauzner,Shenkar College of Engineering and Design,IL,1
0000-0001-7207-4584,Rafael S. de Souza,Universidade de São Paulo,BR,1
0000-0002-1412-1546,Mattia Fazzini,University of Minnesota System,US,1
0000-0003-2670-3823,Aracele Garcia de Oliveira Fassbinder,Instituto Federal de Educação  Ciência e Tecnologia de Minas Gerais,BR,1
,Tallie C. Faircloth,,,1
0000-0002-8279-5630,Jaime Meza,Universidad Técnica de Manabí,EC,1
,Farah Agia Ramadhina,University of Indonesia,ID,1
0000-0002-7658-8264,Gennaro Imperatore,University of Strathclyde,GB,1
,Lu Liu,University of Exeter,GB,1
,Geldof B. Resuello,Mapúa University,PH,1
,Mario A. Moreno-Rocha,Technological University of the Mixteca,MX,1
,Shuvo Malakar,,,1
,Esteban Robles Luna,Universidad Nacional de La Plata,AR,1
0000-0002-0597-3851,Carla Silva,Universidade Federal da Paraíba,BR,1
,Nolwen Mahé,,,1
,Syariffanor Hisham,Technical University of Malaysia Malacca,MY,1
,Nigel Jefferies,Vodafone (Italy),IT,1
0000-0001-8044-2738,Pete Sawyer,Lancaster University,GB,1
0000-0002-5381-971X,Philippe Palanque,Université Toulouse III - Paul Sabatier,FR,1
,Laura Marie Leventhal,Bowling Green State University,US,1
,Konstantinos Glykos,Information Technologies Institute,GR,1
,Heri Praktikto,State University of Malang,ID,1
0000-0002-4913-8276,Ely Siswanto,State University of Malang,ID,1
0000-0002-6600-9329,Klaus David,University of Kassel,DE,1
0000-0002-5602-8008,Nosipho Mavuso,Nelson Mandela University,ZA,1
0000-0002-3700-1678,Eric Neufeld,University of Saskatchewan,CA,1
0000-0002-7451-2653,Dana Sulistyo Kusumo,Telkom University,ID,1
,Alexander Grigorov,Institute of Mathematics and Informatics,BG,1
0000-0002-9659-8566,Kasem Khalil,University of Mississippi,US,1
,V. Samuthira Pandi,,,1
,Somanshu Bhattacharyya,PES University,IN,1
0009-0002-9774-6265,Vikrant Kaulgud,Accenture (Switzerland),CH,1
0009-0009-5976-3348,Isabel Seguí Verdú,Universitat Politècnica de València,ES,1
,Katja Battarbee,Helsinki Art Museum,FI,1
0000-0002-7480-9617,Franz J. Hauck,Universität Ulm,DE,1
,Begoña Losada,University of the Basque Country,ES,1
0000-0002-6435-1497,María José Escalona,Universidad de Sevilla,ES,1
0000-0003-1379-5802,Eduarda Maganha de Almeida,Universidade Tecnológica Federal do Paraná,BR,1
,L. Gerardo Montané-Jiménez,Universidad Veracruzana,MX,1
0000-0001-8147-028X,Anikó Costa,Universidade Nova de Lisboa,PT,1
0000-0003-4760-5560,Dron Khanna,Free University of Bozen-Bolzano,IT,1
0000-0002-5026-3189,Ian Lau,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0002-7266-4725,Veronikha Effendy,Telkom University,ID,1
0000-0002-3013-9922,Zhengli Liu,Wuhan University,CN,1
0000-0003-2796-1613,José Reinaldo Silva,Universidade de São Paulo,BR,1
,Maradona Gatara,University of the Witwatersrand,ZA,1
,V Sarasvathi,PES University,IN,1
0000-0001-8639-1257,Marí­a Jesús Rodríguez-Triana,École Polytechnique Fédérale de Lausanne,CH,1
0000-0003-1303-4173,Jorge Melegati,Free University of Bozen-Bolzano,IT,1
,A. Rastellini,,,1
0000-0002-5613-4599,Md. Rakib Hossain,,,1
0000-0001-6941-0161,Philipp Scholl,University of Freiburg,DE,1
0000-0002-5027-753X,André Pinheiro,Universidade Federal do Pará,BR,1
,Maike Naumann,Jade University of Applied Sciences,DE,1
0000-0003-4255-299X,Deirdre Walsh,Dublin City University,IE,1
,Lauriane Pereira,Pontifícia Universidade Católica do Rio Grande do Sul,BR,1
0000-0002-3348-2144,Gustavo Rossi,Universidad Nacional de La Plata,AR,1
,A.F. Newell,University of Dundee,GB,1
,Laksamana Zesair Adhito,University of Indonesia,ID,1
,G. Ko,,,1
0000-0001-5911-6022,Jens Klump,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0002-4137-3634,Luigi Pomante,University of L'Aquila,IT,1
0000-0002-7733-5947,Anthony Faiola,University of Illinois Chicago,US,1
,Haijun Zhang,Harbin Institute of Technology,CN,1
,João Ricardo dos S. Rosa,Universidade Federal do Paraná,BR,1
0000-0002-5566-0992,Talal Ashraf Butt,Higher Colleges of Technology,AE,1
0009-0007-1263-4974,James Neil B. Mendoza,Sebha University,LY,1
,David J. Wheatley,TiVo (United States),US,1
0000-0002-5541-5188,Jéssyka Vilela,Universidade Federal de Pernambuco,BR,1
0000-0002-6322-2984,Humphrey O. Obie,Monash University,AU,1
0000-0003-1350-6732,István Koren,RWTH Aachen University,DE,1
0000-0001-7946-1552,Adrian Holzer,University of Neuchâtel,CH,1
0000-0002-9956-7781,Grace Lorraine Intal,Mapúa University,PH,1
0000-0001-6056-7285,Manfred Tscheligi,University of Salzburg,AT,1
,P D Parthasarathy,Birla Institute of Technology and Science  Pilani,IN,1
,K.D. Mueller-Glaser,FZI Research Center for Information Technology,DE,1
0000-0001-7950-0099,Mohammad Alshayeb,King Fahd University of Petroleum and Minerals,SA,1
0000-0001-5207-5694,Ulrich Engelke,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0001-7965-5007,Dagmar Lühmann,University Medical Center Hamburg-Eppendorf,DE,1
0000-0002-9686-2515,Yuxia Cheng,Chongqing University of Posts and Telecommunications,CN,1
0000-0002-3034-5195,Günther Schreder,Universität für Weiterbildung Krems,AT,1
0000-0001-9958-0102,Hourieh Khalajzadeh,Monash University,AU,1
,Juliana G de Souza,Virginia Commonwealth University,US,1
0000-0002-4949-3278,Lorena Recalde,National Polytechnic School,EC,1
0000-0002-2779-2744,Dan Gunter,Lawrence Berkeley National Laboratory,US,1
0000-0002-1333-9797,Torsten Hoefler,Supercomputing Systems (Switzerland),CH,1
0000-0001-8344-1220,Noël Carroll,Ollscoil na Gaillimhe – University of Galway,IE,1
,Indra Febrio Nugroho,Bandung Institute of Technology,ID,1
0000-0003-2973-9215,Muharman Lubis,Telkom University,ID,1
0000-0002-0287-0486,Javier Varona,Universitat de les Illes Balears,ES,1
,Bhakti Kusum Barman,,,1
0000-0003-1079-3326,Mohsen Amiribesheli,Bournemouth University,GB,1
,T Capin,Bilkent University,TR,1
0000-0002-3884-815X,Grischa Liebel,Reykjavík University,IS,1
,S. Manthandi Periannasamy,,,1
0000-0003-1508-4174,Waqar Hussain,Monash University,AU,1
0000-0003-1761-4132,Lavanya Ramakrishnan,Lawrence Berkeley National Laboratory,US,1
0009-0002-9551-4321,Irene Mazza,University of Turin,IT,1
0000-0001-8677-3503,Florian Weidner,Technische Universität Ilmenau,DE,1
0000-0003-2629-6105,Andro Agil Nur Rakhmad,State University of Malang,ID,1
0000-0002-6193-7775,Larry F. Hodges,Clemson University,US,1
0000-0002-9387-3702,Gilberto Pastorello,Lawrence Berkeley National Laboratory,US,1
0000-0003-3544-2637,Craig A. James,Commonwealth Scientific and Industrial Research Organisation,AU,1
0000-0002-5435-0247,Jerome McClendon,Clemson University,US,1
0000-0001-9582-1538,Vinay Sachidananda,Technical University of Darmstadt,DE,1
,Paul Hodgetts,Agile RF (United States),US,1
,Dorothy G. Buhat-Mendoza,Tobruk University,,1
,Jen-Huei Chang,Tungnan University,TW,1
,Monterico Adrian,Telkom University,ID,1
0000-0002-7955-2232,Alistair﻿ Sutcliffe﻿,University of Manchester,GB,1
,Dieter Hertweck,Reutlingen University,DE,1
0000-0002-3915-9153,Noor Habibah Arshad,Water and Power Development Authority,PK,1
0000-0001-7456-945X,Pedro Jiménez-Pacheco,University of Cuenca,EC,1
,Richard F. Dillon,Carleton University,CA,1
,Shahad Alhothli,King Abdulaziz University,SA,1
0000-0002-0674-2131,Muhammad Intizar Ali,Ollscoil na Gaillimhe – University of Galway,IE,1
0000-0001-9613-7017,Sunu Wibirama,Universitas Gadjah Mada,ID,1
,A. Wagner,,,1
0000-0002-9563-2419,Md. Sanzidul Islam,,,1
0000-0001-5421-4029,Benedikt Hensen,RWTH Aachen University,DE,1
0000-0002-8120-5926,Patricia Trbovich,Carleton University,CA,1
,S. Säde,Helsinki Art Museum,FI,1
0000-0002-7298-6206,Mjumo Mzyece,University of the Witwatersrand,ZA,1
0000-0001-9503-7890,Kennis Rozana,State University of Malang,ID,1
0000-0001-6416-0503,Ahto Kalja,Tallinn University of Technology,EE,1
,Ivo Braganza,,,1
0000-0002-3571-1617,Susanne Bødker,Aarhus University,DK,1
,J. Andrés De la Cruz Pineda,Durango Institute of Technology,MX,1
0000-0002-1661-597X,Vanja Garaj,Brunel University of London,GB,1
,Samuel D. Jaffee,Google (United States),US,1
0000-0002-0363-0871,Paula Costa Castro,Universidade Federal de São Carlos,BR,1
0009-0002-9507-5066,Wenyan Song,Fudan University,CN,1
0000-0001-8117-2848,Christopher William Schankula,McMaster University,CA,1
0000-0001-6572-9896,Bea Herbeck Belnap,University of Göttingen,DE,1
0000-0001-6915-6722,Dimitrios Tzovaras,Information Technologies Institute,GR,1
0000-0003-3483-9915,Dávid Fröhlich,University of Surrey,GB,1
,G.J. Gerling,,,1
,Alida Veldsman,Nelson Mandela University,ZA,1
0000-0001-6432-1223,Gerardo Matturro,Universidad ORT Uruguay,UY,1
0000-0002-7682-4124,Roberto Paiano,University of Salento,IT,1
0000-0002-7445-588X,Athula Ginige,Western Sydney University,AU,1
0000-0002-4427-6098,Krassen Stefanov,Sofia University "St. Kliment Ohridski",BG,1
,Kurnia Nur Akmaliyah Dalimunthe,Telkom University,ID,1
0000-0001-5045-2396,D. Agarwal,Lawrence Berkeley National Laboratory,US,1
0000-0001-8649-4934,Zhaoqing Li,Monash University,AU,1
0000-0001-6574-6311,Andrea Pandurino,University of Salento,IT,1
0000-0002-2135-046X,Lixin Tao,Pace University,US,1
,Nuonan Chen,Xi'an Shiyou University,CN,1
0000-0002-4998-312X,Ahmed Elnaggar,Laboratoire d'Informatique de Paris-Nord,FR,1
0000-0002-9805-3623,Jinhui Ouyang,Hunan University,CN,1
0000-0001-5311-4456,Ahmad Nasikun,Universitas Gadjah Mada,ID,1
0000-0002-6880-5636,Virpi Roto,Aalto University,FI,1
0000-0002-3352-5626,Andrii Vozniuk,École Polytechnique Fédérale de Lausanne,CH,1
0009-0003-7775-8549,Eriky Rodrigues,Universidade Federal do Amazonas,BR,1
0000-0001-7104-9432,Tanara Lauschner,Universidade Federal do Amazonas,BR,1
0000-0002-0630-5273,Magdy Bayoumi,University of Louisiana at Lafayette,US,1
0000-0002-1788-547X,Bogdan Ghita,University of Plymouth,GB,1
0009-0005-1496-901X,Luís Taroncher Pellicer,Universitat Politècnica de València,ES,1
,Tamara Scheerer,Reutlingen University,DE,1
0000-0002-9390-3772,Beatriz Bernárdez,Universidad de Sevilla,ES,1
,Lorena Alonso-Ramírez,Universidad Veracruzana,MX,1
0000-0003-2135-6113,Silvia T. Acuña,Universidad Autónoma de Madrid,ES,1
,Si-yan Yang,Ming Chi University of Technology,TW,1
,J. Drescher,,,1
0000-0002-5396-487X,Leonel Merino,University of Bern,CH,1
0000-0002-0892-6591,Catherine Woods,University of Limerick,IE,1
,Jigang Liu,Metropolitan State University,US,1
0000-0001-6595-3599,Felix Wolf,Technische Universität Darmstadt,DE,1
,Marylise Hebrard,Gestion de l'Eau  Acteurs  Usages,FR,1
,Linah Alakwaa,King Abdulaziz University,SA,1
,Alaric Rasendriya Aniko,Telkom University,ID,1
0000-0001-6565-8047,Yangjinbo Zhang,Curtin University,AU,1
0009-0009-2558-0922,Kavitha Chandra,University of Massachusetts Lowell,US,1
0000-0002-0182-8016,Maurício Ronny de Almeida Souza,Universidade Federal de Lavras,BR,1
0000-0003-4065-6883,Rob Allan,Daresbury Laboratory,GB,1
,Margaret Morgan,University of Dundee,GB,1
,Devi Afriyantari Puspa Putri,Muhammadiyah University of Surakarta,ID,1
0000-0002-1399-3297,Samba Raju Chiluveru,Indian Institute of Technology Dharwad,IN,1
,Michael Smuc,Universität für Weiterbildung Krems,AT,1
0000-0002-4803-8054,Z. Zhang,Singapore University of Technology and Design,SG,1
0000-0002-1980-5517,Abdelhamid Bouchachia,Bournemouth University,GB,1
0000-0003-2895-1054,Bruna Ferreira,Pontifical Catholic University of Rio de Janeiro,BR,1
,Sylvie Girard,University of Bath,GB,1
,Nur Aisyah Mohd Hanifiah,University of Kuala Lumpur,MY,1
,W. A. K. D. Wijesinghe,Sri Lanka Institute of Information Technology,LK,1
0000-0001-6985-5275,Irman Hermadi,IPB University,ID,1
0000-0003-2884-9359,Elaine Oliveira,Universidade Federal do Amazonas,BR,1
0000-0002-3991-0269,Josianne Marsan,Université Laval,CA,1
,Asako Katayama,Fujitsu (Japan),JP,1
0000-0002-9872-3172,Francisco J. Perales,Universitat de les Illes Balears,ES,1
,Sowmya Dhandapani,,,1
0000-0002-4593-1103,Mark Dunlop,University of Strathclyde,GB,1
,Danhyung Lee,Korea Institute of Science & Technology Information,KR,1
0000-0001-8633-3313,Jonathan M. Moore,Texas A&M University,US,1
,PC Anitha,,,1
,Alhejab Alhazmi,Florida Atlantic University,US,1
0000-0002-7771-0882,Giorgio Oronzo Spagnolo,National Research Council,IT,1
0000-0002-0397-835X,Martin Breidenbach,Fraunhofer Institute for Applied Information Technology,DE,1
0000-0003-1113-1754,Kevin A. Schneider,University of Saskatchewan,CA,1
0000-0002-8794-6792,Marjo Kauppinen,Aalto University,FI,1
0000-0001-8829-9817,Arifa Akram,Daresbury Laboratory,GB,1
0000-0002-0434-0446,Fabio Salice,Politecnico di Milano,IT,1
0000-0002-1326-2611,Alexander Graf,Technische Universität Darmstadt,DE,1
0000-0003-0941-2522,Dimitra Ioannou,University of Patras,GR,1
0000-0001-5065-7906,Cristiana Bolchini,Politecnico di Milano,IT,1
0000-0002-4491-6796,John Mills,University of Central Lancashire,GB,1
0000-0001-5652-9905,Holger Schmidt,University of Duisburg-Essen,DE,1
0000-0003-4527-5123,Flávia Belintani Blum Haddad,Universidade Tecnológica Federal do Paraná,BR,1
0000-0001-5646-3870,Patrik O’Brian Holt,Heriot-Watt University,GB,1
,Latha Karthigaa Murugesan,University of Auckland,NZ,1
0000-0001-5555-3487,Eduardo Guerra,Free University of Bozen-Bolzano,IT,1
0000-0001-9030-6940,Donatella Sciuto,Politecnico di Milano,IT,1
,Kunal Chavan,Vellore Institute of Technology University,IN,1
0000-0003-4928-7076,John Grundy,Monash University,AU,1
0000-0001-8358-9065,Haiying Wang,University of Ulster,GB,1
0009-0001-3988-761X,Tharushi Bandara,Sri Lanka Institute of Information Technology,LK,1
0000-0003-0878-0614,Detlef Streitferdt,Technische Universität Ilmenau,DE,1
0000-0002-2674-1638,Ying Zhang,University of West London,GB,1
0000-0002-9446-8143,Andreas Kassler,Karlstad University,SE,1
0000-0002-8011-2939,Michael Klafft,Jade University of Applied Sciences,DE,1
0000-0002-8350-7485,Peter Schmid,Stuttgart University of Applied Sciences,DE,1
,Anderson Jorge Serra da Costa,Universidade do Estado do Pará,BR,1
,Chiara Agamennone,,,1
0000-0002-6246-1246,Eduardo Filgueiras Damasceno,Universidade Tecnológica Federal do Paraná,BR,1
0000-0001-7483-1550,Wolfgang Broll,Technische Universität Ilmenau,DE,1
,Carsten Ziegler,,,1
,Kristof Van Laerhoven,University of Siegen,DE,1
,Septia Andriani Pasaribu,University of Brawijaya,ID,1
0000-0002-5469-906X,Chu Zhang,Beihang University,CN,1
0000-0002-1171-9024,Sebastian Rinke,Technische Universität Darmstadt,DE,1
0000-0003-1861-3799,Daniel Lorenz,Technische Universität Darmstadt,DE,1
,M. Kuehl,,,1
0000-0003-2021-6661,Damian Kedziora,Lappeenranta-Lahti University of Technology,FI,1
