doi,openalex_id,title,venue,year,citations_count,is_oa,oa_status
10.1109/mcom.001.2500002,https://openalex.org/W4414798964,Integrating Generative AI with Network Digital Twin for 6G: An Edge-Cloud Collaborative Approach,IEEE Communications Magazine,2025,2,False,closed
10.1109/were.2010.5624001,https://openalex.org/W2045913708,Capturing and validating personalization requirements in Web applications,2010 First International Workshop on the Web and Requirements Engineering,2010,8,False,closed
10.1109/ithet.2011.6018688,https://openalex.org/W2163272147,Emerging models and e-infrastructures for teacher education,2011 International Conference on Information Technology Based Higher Education and Training,2011,11,False,closed
10.1109/contel.2007.381885,https://openalex.org/W1965368349,Service Mobility with SIP  SDP and MPEG-21,2007 9th International Conference on Telecommunications,2007,5,False,closed
10.1109/smartnets61466.2024.10577738,https://openalex.org/W4400351626,Scalable Video Streaming Solutions Using Federated Learning,2024 International Conference on Smart Applications  Communications and Networking (SmartNets),2024,2,False,closed
10.1109/cybercom63683.2024.10803198,https://openalex.org/W4405709121,Artificial Intelligence-Driven Beamforming: Integrating Intelligent Antenna Arrays to Improve the Performance of 5G Networks,2024 International Conference on Cybernation and Computation (CYBERCOM),2024,2,False,closed
10.1109/iccomm.2018.8484784,https://openalex.org/W4240117414,Internet of Profiling - Traffic  Users and Applications,2018 International Conference on Communications (COMM),2018,1,False,closed
10.1145/3147704.3147733,https://openalex.org/W2768979933,Identifying Agile Requirements Engineering Patterns in Industry,,2017,3,True,green
10.1145/3240925.3240975,https://openalex.org/W2891717521,HYPOalert,,2018,6,True,green
10.1145/3197768.3201560,https://openalex.org/W2809938903,Designing a gamified social platform for people living with dementia and their live-in family caregivers,,2018,7,True,green
10.1109/dise.2017.9,https://openalex.org/W2733404726,Identifying Design Features Using Combination of Requirements Elicitation Techniques,,2017,10,True,green
10.1145/3233824.3233865,https://openalex.org/W2885250673,Flexible Requirement Development through User Objectives in an Agile-UCD Hybrid Approach,,2018,14,False,closed
10.1145/3701625.3701693,https://openalex.org/W4405671973,Comparing Design Thinking Techniques in the Context of IoT Requirements Elicitation: An Empirical Study,,2024,1,False,closed
10.1145/3706599.3719968,https://openalex.org/W4409720114,Dual-Track UX: A User Experience Evaluation Method for B2B SaaS Development,,2025,2,False,closed
10.1145/3474624.3477064,https://openalex.org/W3201768613,Organizing the Design Thinking Toolbox: Supporting the Requirements Elicitation Decision Making,Brazilian Symposium on Software Engineering,2021,10,False,closed
10.1145/3571473.3571482,https://openalex.org/W4318328420,Evaluating Approaches to Selecting Design Thinking Techniques : Quantitative and Qualitative Analysis,,2022,4,False,closed
10.1145/3412841.3442008,https://openalex.org/W3157289583,Towards an understanding of benefits and challenges in the use of design thinking in requirements engineering,,2021,32,True,green
10.1145/3698062.3698082,https://openalex.org/W4405200123,Determining User Requirements for a Tailored Web-Based Inventory and Sales Management System in Micro-Small Construction Supply Stores using Design Thinking,,2024,0,False,closed
10.1109/edocw.2006.50,https://openalex.org/W2130292893,Modelling WS-RF based Enterprise Applications,2006 10th IEEE International Enterprise Distributed Object Computing Conference Workshops (EDOCW'06),2006,4,False,closed
10.1109/mvt.2010.938595,https://openalex.org/W4252466313,2020 Vision,IEEE Vehicular Technology Magazine,2010,32,False,closed
10.1109/smartgencon51891.2021.9645781,https://openalex.org/W4200134617,Minimal Satisfiable Product: A Novel Concept in Agile Project Management for better adherence to Customer Requirements,2021 International Conference on Smart Generation Computing  Communication and Networking (SMART GENCON),2021,2,False,closed
10.1109/access.2019.2891766,https://openalex.org/W2913219826,On Reconfiguration Theory of Discrete-Event Systems: From Initial Specification Until Final Deployment,IEEE Access,2019,7,True,gold
10.1109/icaeee62219.2024.10561793,https://openalex.org/W4399951341,The Design and Implementation of AI Based Smart Notice Board Using Advanced Machine Learning and Image Processing Techniques,2024 3rd International Conference on Advancement in Electrical and Electronic Engineering (ICAEEE),2024,0,False,closed
10.1109/icei64305.2024.10912415,https://openalex.org/W4408359486,VocalEyes: Enhancing Environmental Perception for the Visually Impaired through Vision-Language Models and Distance-Aware Object Detection,2024 IEEE Conference on Engineering Informatics (ICEI),2024,4,True,green
10.1109/delcon64804.2024.10866613,https://openalex.org/W4407362422,A Comparative Case Study on Augmented Reality and AI Chatbots,2024 3rd Edition of IEEE Delhi Section Flagship Conference (DELCON),2024,4,False,closed
10.1145/2851581.2851595,https://openalex.org/W2345460381,Breaking the UCD Process,,2016,1,False,closed
10.1145/3359997.3365715,https://openalex.org/W2988919546,HypAR: Situated Mineralogy Exploration in Augmented Reality,,2019,9,False,closed
10.1016/j.intcom.2007.06.001,https://openalex.org/W2034655863,The efficacy of narrative video for raising awareness in ICT designers about older users’ requirements,Interacting with Computers,2007,35,False,closed
10.1109/access.2025.3564139,https://openalex.org/W4409761114,A Comprehensive Framework for Intelligent  Scalable  and Performance-Optimized Software Development,IEEE Access,2025,5,True,gold
10.1109/adc.2005.24,https://openalex.org/W2157384611,Experiences integrating sophisticated user experience design practices into agile processes,Agile Development Conference (ADC'05),2006,31,False,closed
10.1109/swc65939.2025.00255,https://openalex.org/W7130717323,Digital Twins for Data-Driven Path Finding on University Campus Navigation,2025 IEEE Smart World Congress (SWC),2025,0,False,closed
10.1109/ieem55944.2022.9989788,https://openalex.org/W4312198742,Prioritizing Customer Requirements for Science and Technology Service Platform Based on Improved TF-IDF and Sentiment Analysis,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,3,False,closed
10.1109/access.2023.3279917,https://openalex.org/W4378194925,Impact in Software Engineering Activities After One Year of COVID-19 Restrictions for Startups and Established Companies,IEEE Access,2023,8,True,gold
10.1109/fie.2017.8190588,https://openalex.org/W2775330975,Massive open online courses in software engineering education,2017 IEEE Frontiers in Education Conference (FIE),2017,21,False,closed
10.1109/svr.2019.00030,https://openalex.org/W2993547797,AR Training for Paragliding Pilots: An Investigation of User Experience and Requirements,2019 21st Symposium on Virtual and Augmented Reality (SVR),2019,6,False,closed
10.1109/iccste65902.2025.11138364,https://openalex.org/W4413967738,Intelligent Construction and Performance Optimization of Educational Resource Sharing Platform,2025 International Conference on Computer Science  Technology and Engineering (ICCSTE),2025,0,False,closed
10.1109/ict4s64576.2024.00023,https://openalex.org/W4405755945,From Crop to Click - Organic and Digital Transformation of Out-of- Home Catering Value Chains in Germany,2024 10th International Conference on ICT for Sustainability (ICT4S),2024,1,False,closed
10.1109/compsac.2016.211,https://openalex.org/W2518300099,Towards Dementia-Friendly Smart Homes,2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC),2016,13,True,green
10.1109/icidm51048.2020.9339668,https://openalex.org/W3128082724,Usability Testing in Kanban Agile Process for Club Management System,2020 6th International Conference on Interactive Digital Media (ICIDM),2020,4,False,closed
10.1109/enc68268.2025.11311902,https://openalex.org/W7117995272,Towards Design and Implementation of an Interactive System for Real-Time Monitoring of Domestic Energy Consumption,2025 Mexican International Conference on Computer Science (ENC),2025,0,False,closed
10.1109/iciss62896.2024.10751411,https://openalex.org/W4404521217,Need Analysis for Community-Based Food Recommendation System,2024 International Conference on ICT for Smart Society (ICISS),2024,0,False,closed
10.23919/icact53585.2022.9728966,https://openalex.org/W4221071813,An Initial Usability Testing for Improving Acceptance Criteria in A Scrum Project: An Angkasa LMS case study,2022 24th International Conference on Advanced Communication Technology (ICACT),2022,4,False,closed
10.1109/mn60932.2024.10615319,https://openalex.org/W4401362075,Prediction of Round-Trip Time in 5G NSA Networks in Urban Environment,2024 IEEE International Symposium on Measurements & Networking (M&N),2024,1,False,closed
10.1109/re.2005.65,https://openalex.org/W2113863619,Shaping requirements for institutional Web applications: experience from an industrial project,13th IEEE International Conference on Requirements Engineering (RE'05),2005,1,False,closed
10.1109/optim-acemp62776.2025.11075288,https://openalex.org/W4412445112,Smart Sensors in the Design of a Medication Management System: Enhancing Patient Autonomy,2025 International Aegean Conference on Electrical Machines and Power Electronics (ACEMP) & 2025 International Conference on Optimization of Electrical and Electronic Equipment (OPTIM),2025,0,False,closed
10.1109/icciaa65327.2025.11013689,https://openalex.org/W4411205191,The Role of AI in Predictive UX Shaping the Future of Metaverse Interactions,2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),2025,1,False,closed
10.1109/iwsg.2014.11,https://openalex.org/W2049007263,A Grid-Enabled Virtual Screening Gateway,2014 6th International Workshop on Science Gateways,2014,9,False,closed
10.1109/ichi.2016.79,https://openalex.org/W2559784096,SecondLook: Participatory Design Process to Create a Phone App that Detects Digital Dating Abuse,2016 IEEE International Conference on Healthcare Informatics (ICHI),2016,7,False,closed
10.1109/re.2008.16,https://openalex.org/W2140981596,Web-based Stakeholder Participation in Distributed Requirements Elicitation,2008 16th IEEE International Requirements Engineering Conference,2008,6,False,closed
10.1109/hicss.1999.772892,https://openalex.org/W1481741123,Scenarios in user-centred design-setting the stage for reflection and action,Proceedings of the 32nd Annual Hawaii International Conference on Systems Sciences. 1999. HICSS-32. Abstracts and CD-ROM of Full Papers,2003,66,False,closed
10.1109/escience.2014.56,https://openalex.org/W1970151573,Experiences with User-Centered Design for the Tigres Workflow API,2014 IEEE 10th International Conference on e-Science,2014,26,True,green
10.1109/iccit65724.2025.11167445,https://openalex.org/W4414463906,Enhancing Tourism Applications with User-Centered Design and Usability Testing Interface and Experience Study,2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),2025,0,False,closed
10.1109/re.2018.00074,https://openalex.org/W2889133659,DT4RE: Design Thinking for Requirements Engineering: A Tutorial on Human-Centered and Structured Requirements Elicitation,2018 IEEE 26th International Requirements Engineering Conference (RE),2018,11,False,closed
10.1109/tpc.2013.2257213,https://openalex.org/W2086980545,A User-Centered Design Approach to Self-Service Ticket Vending Machines,IEEE Transactions on Professional Communication,2013,42,False,closed
10.1109/icacsis47736.2019.8979912,https://openalex.org/W3005302986,Online Learning Design for Fundamental Arabic Language with User-Centered Design Approach,2019 International Conference on Advanced Computer Science and information Systems (ICACSIS),2019,5,False,closed
10.1109/csci.2016.0011,https://openalex.org/W2600208673,Digitizing the Hand Rehabilitation Using Serious Games Methodology with User-Centered Design Approach,2016 International Conference on Computational Science and Computational Intelligence (CSCI),2016,17,False,closed
10.1109/iiai-aai-winter61682.2023.00041,https://openalex.org/W4394597945,Development of Cough Detection Pre-Screening System Architecture Methodology Using PSKVE-S with a Design Thinking Approach,2023 15th International Congress on Advanced Applied Informatics Winter (IIAI-AAI-Winter),2023,0,False,closed
10.1016/j.intcom.2005.06.003,https://openalex.org/W2160687297,User Needs Analysis and requirements engineering: Theory and practice,Interacting with Computers,2005,89,False,closed
10.1109/iciss62896.2024.10751221,https://openalex.org/W4404521555,Application of User Experience Method to Determine User Requirements in Remote Patient Monitoring Systems: Systematic Literature Review,2024 International Conference on ICT for Smart Society (ICISS),2024,3,False,closed
10.1109/csci51800.2020.00335,https://openalex.org/W3174613573,Developing Software Using Agile and Design Thinking Framework,2020 International Conference on Computational Science and Computational Intelligence (CSCI),2020,4,False,closed
10.1109/bibm.2017.8217972,https://openalex.org/W2773171602,Participatory design-based requirements elicitation involving people living with dementia towards a home-based platform to monitor emotional wellbeing,2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2017,10,True,green
10.1109/re.2018.00-18,https://openalex.org/W2889320114,The Use of Design Thinking for Requirements Engineering: An Ongoing Case Study in the Field of Innovative Software-Intensive Systems,2018 IEEE 26th International Requirements Engineering Conference (RE),2018,53,False,closed
10.1109/rew56159.2022.00014,https://openalex.org/W4312749901,Multifaceted Requirements Engineering: Developing A MESH (Municipal-Environmental-Social-Health) Platform,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,3,False,closed
10.1109/ret.2015.15,https://openalex.org/W4245287804,Visual Requirements Specification and Automated Test Generation for Digital Applications,2015 IEEE/ACM 2nd International Workshop on Requirements Engineering and Testing,2015,1,False,closed
10.1109/ms.2019.2958646,https://openalex.org/W2995844585,Migrating a Software Factory to Design Thinking: Paying Attention to People and Mind-Sets,IEEE Software,2020,12,False,closed
10.1109/re.2019.00044,https://openalex.org/W2992301309,Design Thinking in a Nutshell for Eliciting Requirements of a Business Process: A Case Study of a Design Thinking Workshop,2019 IEEE 27th International Requirements Engineering Conference (RE),2019,26,False,closed
10.1109/compsac.2010.39,https://openalex.org/W2111828129,A Usability-Pattern-Based Requirements-Analysis Method to Bridge the Gap between User Tasks and Application Features,2010 IEEE 34th Annual Computer Software and Applications Conference,2010,13,False,closed
10.1109/re63999.2025.00016,https://openalex.org/W4415003725,Design Thinking in Requirements Engineering: Understanding the Role of Internal and External Empathy,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,0,False,closed
10.1109/usare.2014.6890996,https://openalex.org/W2134516392,Design science research based blended approach for usability driven requirements gathering and application development,2014 IEEE 2nd International Workshop on Usability and Accessibility Focused Requirements Engineering (UsARE),2014,5,False,closed
10.1109/tale48869.2020.9368349,https://openalex.org/W3134266472,Exploring Trends of Potential User Experience of Online Classroom on Virtual Platform for Higher Education during COVID-19 Epidemic: A Case in China,2020 IEEE International Conference on Teaching  Assessment  and Learning for Engineering (TALE),2020,10,False,closed
10.1109/icimcis51567.2020.9354292,https://openalex.org/W3132232128,Analysis and Design of Agricultural Marketplace Using User Experience,2020 International Conference on Informatics  Multimedia  Cyber and Information System (ICIMCIS),2020,2,False,closed
10.1109/icse.2015.181,https://openalex.org/W4252768165,The Role of Design Thinking and Physical Prototyping in Social Software Engineering,2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,2015,40,False,closed
10.1109/iccsmt58129.2022.00078,https://openalex.org/W4379781217,Combining i* and Service Blueprint for Service design:a case study of Fliggy,2022 3rd International Conference on Computer Science and Management Technology (ICCSMT),2022,0,False,closed
10.1109/rew57809.2023.00006,https://openalex.org/W4387143074,Harnessing Cognitive and Psychological Theories for RE: Navigating Emotions in the Ocean of Requirements Elicitation,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),2023,0,False,closed
10.1109/re57278.2023.00033,https://openalex.org/W4387123759,Digital Design - Shaping a Sustainable Digital Future Requires a New Holistic Design Approach,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2,False,closed
10.1109/usare.2012.6226784,https://openalex.org/W4252794167,Integrating requirements engineering and user experience design in Product life cycle Management,2012 First International Workshop on Usability and Accessibility Focused Requirements Engineering (UsARE),2012,13,False,closed
10.1109/isec61299.2024.10664701,https://openalex.org/W4402572332,Reimagining the Insulin Pump User Experience,2024 IEEE Integrated STEM Education Conference (ISEC),2024,1,False,closed
10.1145/2897683.2897687,https://openalex.org/W2406308730,Aligning healthcare innovation and software requirements through design thinking,2016 IEEE/ACM International Workshop on Software Engineering in Healthcare Systems (SEHS),2016,68,True,green
10.1109/re.2013.6636738,https://openalex.org/W1991817648,Requirements Bazaar: Social requirements engineering for community-driven innovation,2013 21st IEEE International Requirements Engineering Conference (RE),2013,59,False,closed
10.1109/iisa59645.2023.10345934,https://openalex.org/W4389777353,A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI - Empowered Software,2023 14th International Conference on Information  Intelligence  Systems & Applications (IISA),2023,16,False,closed
10.1109/re59067.2024.00064,https://openalex.org/W4401720107,A Model-Driven Requirements Engineering Method for Human-Centered Digitalisation of Agriculture,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,1,True,green
10.1109/seanes.2012.6299576,https://openalex.org/W2108763159,Website user experience (UX) testing tool development using Open Source Software (OSS),2012 Southeast Asian Network of Ergonomics Societies Conference (SEANES),2012,36,False,closed
10.1109/ichi.2014.31,https://openalex.org/W1983041765,Designing a Useful and Usable Mobile EMR Application through a Participatory Design Methodology: A Case Study,2014 IEEE International Conference on Healthcare Informatics,2014,13,True,green
10.1109/icic60109.2023.10381912,https://openalex.org/W4390771845,Design of Job Placement Center Dashboard for Monitoring Alumni Performance in Job Fair Application,2023 Eighth International Conference on Informatics and Computing (ICIC),2023,0,False,closed
10.1109/ase.2000.873648,https://openalex.org/W2125857892,A comparison of questionnaire-based and GUI-based requirements gathering,Proceedings ASE 2000. Fifteenth IEEE International Conference on Automated Software Engineering,2000,26,False,closed
10.1109/cluster.2018.00038,https://openalex.org/W2878269973,Lightweight Requirements Engineering for Exascale Co-design,2018 IEEE International Conference on Cluster Computing (CLUSTER),2018,9,False,closed
10.1109/fie.2018.8658529,https://openalex.org/W2922431265,Teaching Multidisciplinary Teams Requirements for Undergraduate Students: an Approach to Augmented Reality Software in Design Thinking Context,2018 IEEE Frontiers in Education Conference (FIE),2018,2,False,closed
10.1109/iscc.2017.8024538,https://openalex.org/W2751535462,A Use Case based requirements specification approach to support the development of a rehabilitation system for CVD patients: The PATHway project,2017 IEEE Symposium on Computers and Communications (ISCC),2017,1,False,closed
10.1109/rew53955.2021.00055,https://openalex.org/W3210122115,When the Developers Become the (Micro) Crowd: An Educational Case Study on Multidisciplinary Requirements Engineering,2021 IEEE 29th International Requirements Engineering Conference Workshops (REW),2021,1,False,closed
10.1109/re.2009.37,https://openalex.org/W2136479122,Bridging the Gap Between Usability and Requirements Engineering,2009 17th IEEE International Requirements Engineering Conference,2009,19,False,closed
10.1109/siml65326.2025.11081169,https://openalex.org/W4412568171,Design of Multilingual Augmented Reality Application for Rupiah Paper Currency Recognition,2025 International Conference on Smart Computing  IoT and Machine Learning (SIML),2025,0,False,closed
10.1109/rew56159.2022.00017,https://openalex.org/W4312865030,Toward Emotion-Oriented Requirements Engineering: A Case Study of a Virtual Clinics Application,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,8,False,closed
10.1109/tlt.2009.38,https://openalex.org/W2149617377,m-Learning in the Education of Multimedia Technologists and Designers at the University Level: A User Requirements Study,IEEE Transactions on Learning Technologies,2009,37,True,green
10.1109/hnicem48295.2019.9073499,https://openalex.org/W3018748206,Human-Library Interaction: A Self-Service Library Management System Using Sequential Multimodal Interface,2019 IEEE 11th International Conference on Humanoid  Nanotechnology  Information Technology  Communication and Control  Environment  and Management ( HNICEM ),2019,7,False,closed
10.1016/j.intcom.2010.06.004,https://openalex.org/W2111913413,User experience to improve the usability of a vision-based interface,Interacting with Computers,2010,42,False,closed
10.1109/icacit66767.2025.11369711,https://openalex.org/W7128026908,Project-Based Learning with Real-World Projects for Requirements Engineering Education: A Case Study at a University in Lima  Peru,2025 International Symposium on Accreditation of Engineering and Computing Education (ICACIT),2025,0,False,closed
10.1109/wse.2011.6081823,https://openalex.org/W2090271245,Rich-IDM: Transforming the user experience of legacy applications,2011 13th IEEE International Symposium on Web Systems Evolution (WSE),2011,3,False,closed
10.1109/icimsa.2017.7985587,https://openalex.org/W2736450179,Develop a Wed-Based Platform Using User-Oriented Design for Knowledge Management System,2017 International Conference on Industrial Engineering  Management Science and Application (ICIMSA),2017,1,False,closed
10.1109/vlhcc.2008.4639083,https://openalex.org/W2149131382,A case study of API redesign for improved usability,Proceedings/Proceedings -- IEEE Symposium on Visual Languages and Human-Centric Computing,2008,45,False,closed
10.1109/icste61649.2023.00024,https://openalex.org/W4390279914,WellnessWise: User Experience Design of the Proposed Mobile Application for Physical and Mental Health Self-Care,2023 13th International Conference on Software Technology and Engineering (ICSTE),2023,3,False,closed
10.1109/hicss.2014.126,https://openalex.org/W1980895678,Domain Specific Case Tool for ICT-Enabled Service Design,2014 47th Hawaii International Conference on System Sciences,2014,0,True,gold
10.1109/rew66121.2025.00066,https://openalex.org/W4415124388,Responsible use of AI in Software Solutions for Neurodiverse and Elderly Communities in the Nordic Countries,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),2025,0,False,closed
10.1109/re.2018.00-26,https://openalex.org/W2897182913,Focusing Requirements Elicitation by Using a UX Measurement Method,2018 IEEE 26th International Requirements Engineering Conference (RE),2018,6,False,closed
10.1109/icac54203.2021.9671136,https://openalex.org/W4205431523,VOYAGER – Smart Travel Guidance Cross Platform Mobile Application,2021 3rd International Conference on Advancements in Computing (ICAC),2021,2,False,closed
10.1109/icmip.2016.18,https://openalex.org/W2522288942,Roadblocks to UCD Integration,2016 First International Conference on Multimedia and Image Processing (ICMIP),2016,1,False,closed
10.1109/tvcg.2017.2744459,https://openalex.org/W2752126964,Activity-Centered Domain Characterization for Problem-Driven Scientific Visualization,IEEE Transactions on Visualization and Computer Graphics,2017,58,True,green
10.1109/ictas59620.2024.10507143,https://openalex.org/W4395448166,Leveraging Software Engineering Practices to Enhance Nursing Informatics Systems Development: A Systematic Literature Review,2024 Conference on Information Communications Technology and Society (ICTAS),2024,0,False,closed
10.1109/icacsis51025.2020.9263152,https://openalex.org/W3110344500,Development and Evaluation of M-Learning Application for Learning the Foundation of Islamic Knowledge,2020 International Conference on Advanced Computer Science and Information Systems (ICACSIS),2020,3,False,closed
10.1109/icecos63900.2024.10791251,https://openalex.org/W4405602224,Designing Model Tools of Requirement Elicitation Process for ADHD Children's Learning Application,2024 International Conference on Electrical Engineering and Computer Science (ICECOS),2024,0,False,closed
10.1109/lciot64881.2025.11118557,https://openalex.org/W4413319736,Digital Designer: Emulation of Empathy-Driven Design with Generative AI,2025 IEEE Latin Conference on IoT (LCIoT),2025,0,False,closed
10.1109/ms.2025.3539950,https://openalex.org/W4407361571,Fostering Organizational Creativity by Integrating Design Thinking and Intrapreneurship,IEEE Software,2025,0,False,closed
10.1109/ibdap55587.2022.9907598,https://openalex.org/W4304142241,SBI-Lab: Designing Sharia Business Incubator on Virtual Version for Developing Halal Product Competitiveness in Indonesia,2022 3rd International Conference on Big Data Analytics and Practices (IBDAP),2022,2,False,closed
10.1109/picmet.2015.7273083,https://openalex.org/W1637282907,A study on effective knowledge reuse in multi-platform web applications user interfaces,2015 Portland International Conference on Management of Engineering and Technology (PICMET),2015,1,False,closed
10.1109/icitsi56531.2022.9971069,https://openalex.org/W4311594448,Producing Successful Design Website of Video Based Learning in Hybrid Learning of Higher Education,2022 International Conference on Information Technology Systems and Innovation (ICITSI),2022,2,False,closed
10.1109/icaicta.2015.7335352,https://openalex.org/W2171413732,Developing a part-time lecturer appointment notification system using UCD,2015 2nd International Conference on Advanced Informatics: Concepts  Theory and Applications (ICAICTA),2015,1,False,closed
10.1109/syscon61195.2024.10553472,https://openalex.org/W4399758969,Integrating Software and Systems Engineering: A Framework for Human-Centric Design of Augmented Reality Applications,2024 IEEE International Systems Conference (SysCon),2024,3,False,closed
10.1109/access.2024.3390577,https://openalex.org/W4394897055,QoE-Oriented Routing Mixing Application KPIs and Link Metrics Through Machine Learning,IEEE Access,2024,2,True,gold
10.1109/fie58773.2023.10342967,https://openalex.org/W4390621724,Mapping Learning Objectives of Project-Based Undergraduate Software Engineering Courses to CC2020 Competency Model,2023 IEEE Frontiers in Education Conference (FIE),2023,2,True,green
10.1109/ica-acca.2016.7778513,https://openalex.org/W2560923625,HCI usability techniques in agile development,2016 IEEE International Conference on Automatica (ICA-ACCA),2016,13,False,closed
10.1109/icedeg48599.2020.9096708,https://openalex.org/W3039165762,Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities,2020 Seventh International Conference on eDemocracy & eGovernment (ICEDEG),2020,10,False,closed
10.1109/fie.2018.8659239,https://openalex.org/W2921563515,An Experience Report on the Use of Experience Maps and Sketches in a Database Course Project,2018 IEEE Frontiers in Education Conference (FIE),2018,0,False,closed
10.1109/icostech54296.2022.9829166,https://openalex.org/W4287886613,Design Approach in Conference Management System with EZDESK Dashboard for Digital Ecosystem,2022 International Conference on Science and Technology (ICOSTECH),2022,4,False,closed
10.1109/icaicta56449.2022.9932965,https://openalex.org/W4308086285,Designing Interaction of Institut Teknologi Bandung Mental Health Services,2022 9th International Conference on Advanced Informatics: Concepts  Theory and Applications (ICAICTA),2022,1,False,closed
10.1109/compsac.2012.47,https://openalex.org/W1985284362,Requirement Patterns for Multicore Systems,2012 IEEE 36th Annual Computer Software and Applications Conference,2012,1,False,closed
10.1109/21.247886,https://openalex.org/W2115889943,A decision-oriented approach to system design and development,IEEE Transactions on Systems Man and Cybernetics,1993,8,False,closed
10.1109/re.2013.6636712,https://openalex.org/W2085465189,User feedback in the appstore: An empirical study,2013 21st IEEE International Requirements Engineering Conference (RE),2013,525,False,closed
10.1109/were.2010.5623994,https://openalex.org/W2039223584,Exploring the tension between user's and main stakeholder's goals: The role of Client Scenarios,2010 First International Workshop on the Web and Requirements Engineering,2010,0,False,closed
10.1109/ghtc.2018.8601681,https://openalex.org/W4235566581,mHealth4Afrika Beta v1 Validation in Rural and Deep Rural Clinics in Ethiopia  Kenya  Malawi and South Africa,2018 IEEE Global Humanitarian Technology Conference (GHTC),2018,6,False,closed
