ID_estudo,Referencia,Questao,Descricao_da_questao,Pontuacao,Justificativa,Evidencia_secao_pagina,Revisor
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA4,A abordagem de design e explicitada?,1,"Design Thinking explicitado e fundamentado (Brown; metodo da d.school de Stanford), com as cinco fases (empathise, define, ideate, prototype, test) descritas e detalhadas em subsecoes.",Secao 2.1; Secao 5.2; Figura 2,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,Integracao e o nucleo do artigo: Design Thinking posicionado como fase de pre-requisitos que alimenta a ER; mapeamento das 5 fases para atividades de requisitos e modelo de 4 estagios que alinha necessidade de saude a requisitos de software.,Secao 4; Secao 5.2; Secao 6; Figuras 4 e 5,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA6,"Ha evidencias empiricas, relato de aplicacao ou avaliacao da abordagem?",0.5,"Ha estudo de caso real (e-pharmacy em tres hospitais irlandeses) com observacao e entrevistas semiestruturadas, e relato da aplicacao das 5 fases gerando o framework (Tabela 1). Porem a fase Test descreve o procedimento de validacao sem reportar resultados/achados, e o alinhamento requisitos-software e tratado como trabalho futuro. Aplicacao presente, avaliacao incompleta.",Secao 5.1; Secao 5.2; Tabela 1; Secoes 5.2.4-6 e 7,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA7,"Beneficios, limitacoes ou desafios sao relatados?",1,"Beneficios articulados (complementa a ER tradicional, imersao no espaco do problema, mitigacao de risco a seguranca do paciente, reducao de gap entre comunidades de software e saude) e desafios do dominio de saude relatados.",Secao 4; Secao 7; Secao 7.1; Secao 7.2,Ok
E02,"Carroll, N.; Richardson, I. (2016). Aligning Healthcare Innovation and Software Requirements through Design Thinking. SEHS'16 (Int. Workshop on Software Engineering in Healthcare Systems), ACM.",QA8,"As ameacas a validade, limitacoes ou condicoes de aplicabilidade sao discutidas?",0.5,"Declara limitacao explicita (uso de um unico caso; necessidade de mais casos e de comparacao com outros metodos de ER), mas nao discute ameacas a validade da evidencia (vies de observacao, ausencia de resultados de teste, generalizacao alem do contexto hospitalar irlandes). Discute a limitacao da proposta, nao a validade da evidencia.",Secao 7,Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA1,O objetivo do estudo esta claramente definido?,1,"Objetivo explicito no resumo e na introducao: propor um novo Trust State-Chart Model para a engenharia de requisitos de confianca em interacoes humano-IA, levando a requisitos de experiencia do usuario que melhoram a confianca.",Resumo; Secao I (fim),Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA2,O contexto de desenvolvimento de software/digital esta descrito?,0.5,"O contexto e software com IA / interfaces humano-IA, e cita dominios de aplicacao (saude, financas, educacao). Porem o contexto e tratado de forma generica e abstrata, sem descrever um sistema, projeto ou ambiente de desenvolvimento concreto.",Resumo; Secao I; Secao IV,Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA3,A abordagem de ER e explicitada?,1,"ER explicitada: o trabalho enquadra-se em requirements engineering de confianca em IA; usa use-case model e Hierarchical Task Analysis para derivar requisitos de experiencia do usuario, com use-cases e sub-use-cases detalhados.",Resumo; Secao I; Secao III; Secao IV,Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA4,A abordagem de design e explicitada?,0.5,"Ha enquadramento user-centric / UX e Human-Centered AI, mas a abordagem de design e tratada mais como modelagem (state-chart, use-case diagram, HTA) do que como uma abordagem de design explicitamente caracterizada; os principios de UX permanecem genericos e nao operacionalizados como metodo de design.",Resumo; Secao I; Secao II; Secao III,Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,"A integracao e o nucleo do artigo e e descrita com detalhe: o Trust State-Chart Model alimenta um use-case diagram e este uma HTA, encadeando estados de confianca a requisitos de UX; tabelas de transicao de estados e decomposicao de use-cases sao apresentadas.",Secao II (Tabelas I-II; Fig.1); Secao III (Fig.2); Secao IV (Fig.3),Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA6,"Ha evidencias empiricas, relato de aplicacao ou avaliacao da abordagem?",0,"O resumo promete 'case studies and examples to demonstrate the effectiveness', mas o corpo do artigo nao apresenta nenhum estudo de caso nem avaliacao: e uma proposta inteiramente conceitual, ilustrada apenas por exemplos hipoteticos. Conforme a regra de calibracao, exemplos ilustrativos nao contam como evidencia empirica.",Resumo (promessa); Secoes II-IV (apenas exemplos hipoteticos); Secao IV (Conclusoes),Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA7,"Beneficios, limitacoes ou desafios sao relatados?",0.5,"Beneficios sao amplamente alegados (melhora de confianca, UX, adocao; mitigacao de overtrust/mistrust/distrust/AI-phobia) e desafios gerais da ER de confianca sao mencionados. Porem limitacoes concretas da propria abordagem proposta nao sao efetivamente relatadas, embora o resumo as anuncie.",Resumo; Secao I; Secao IV (Conclusoes),Ok
E08,"Virvou, M.; Tsihrintzis, G. A. (2023). A Novel Trust State-Chart Model for Requirements Engineering of Trustful AI-Empowered Software. 2023 14th International Conference on Information, Intelligence, Systems & Applications (IISA), IEEE.",QA8,"As ameacas a validade, limitacoes ou condicoes de aplicabilidade sao discutidas?",0,"Nao ha discussao de ameacas a validade nem de limitacoes da proposta. O resumo e a introducao anunciam que limitacoes seriam discutidas, mas a conclusao apenas reafirma o potencial do modelo sem examinar restricoes, vieses ou condicoes de aplicabilidade.",Resumo; Secao I; Secao IV (Conclusoes),Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA1,O objetivo do estudo esta claramente definido?,1,Objetivo explicito no resumo e na introducao: relato de experiencia sobre a aplicacao de praticas de design centrado no ser humano (prototipacao e testes com usuarios) no processo de engenharia de requisitos agil em um projeto governamental com terceirizacao do desenvolvimento.,Resumo; Secao 1 (introducao),Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA2,O contexto de desenvolvimento de software/digital esta descrito?,1,"Contexto descrito em detalhe: empresa publica de TI (Serpro), projeto de manutencao evolutiva de plataforma de gestao de chatbots para cidadaos; equipe, metodologia agil com sprints de 4 semanas, terceirizacao das fases de implementacao e testes.",Secao 4; Secao 4.1; Secao 4.3,Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA3,A abordagem de ER e explicitada?,1,"ER agil explicitada e fundamentada (Secao 2.1, desafios de Inayat et al.); o processo de ER do projeto e descrito nas cinco etapas (elicitacao, documentacao, revisao, validacao, gerenciamento de requisitos) com atividades concretas em cada uma.",Secao 2.1; Secao 4.3 (cinco etapas),Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA4,A abordagem de design e explicitada?,1,HCD explicitado e fundamentado na ISO 9241-210:2019; prototipacao (niveis de fidelidade baixa/media/alta) e testes com usuarios descritos conceitualmente (Secao 2.2) e na pratica do projeto.,Secao 1; Secao 2.2; Secao 4.3,Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,"Integracao descrita com detalhe operacional: a prototipacao e os testes com usuarios sao embutidos em cada uma das cinco etapas do processo de ER (protótipos de baixa fidelidade na elicitacao; refino e alta fidelidade na documentacao; protótipos revisados junto com requisitos; testes com usuarios na validacao; refino no gerenciamento), com fluxo entre contratante e contratada por sprint.",Secao 4.3; Tabela 1; Secao 5.2,Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA6,"Ha evidencias empiricas, relato de aplicacao ou avaliacao da abordagem?",1,"Aplicacao real em projeto governamental (2022-2023, Serpro), com analise de indicadores do projeto (atraso de cronograma, evolucao de requisitos, densidade de defeitos por Ponto de Funcao) e analise qualitativa consolidada em 29 aspectos (Tabela 2) e relatos agrupados por tema.",Secao 4.3; Secao 5.1 (indicadores); Secao 5.2; Tabela 2,Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA7,"Beneficios, limitacoes ou desafios sao relatados?",1,"Beneficios organizados por equipe, contratada/contratante e produto (Secao 6), e limitacoes concretas relatadas: dependencia de designer experiente, risco de impacto no ritmo agil, alto custo de gestao da terceirizacao, alta rotatividade da contratada.",Secao 5.2; Secao 6 (beneficios e limitacoes),Ok
E09,"Coutinho, V. O. G.; Souza, M. R. A.; Freire, A. P. (2024). Application of human-centered design practices in the agile requirements engineering process: a case study in a public company. SBQS 2024, ACM.",QA8,"As ameacas a validade, limitacoes ou condicoes de aplicabilidade sao discutidas?",0.5,"Discute limitacoes da proposta com profundidade (Secao 6) e condicoes de aplicabilidade (necessidade de designer experiente, integracao ao ciclo agil). Porem nao discute explicitamente ameacas a validade da evidencia: relato em primeira pessoa pela autora integrante da equipe (vies observador-participante), projeto unico, indicadores sem baseline comparativo. A propria autora coloca a comparacao com projetos sem prototipacao como trabalho futuro.",Secao 6; Secao 5.1; Secao 6 (trabalhos futuros),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ1,O objetivo do estudo esta claramente definido?,1,Objetivo explicito de propor um metodo de analise de requisitos baseado em padroes de usabilidade para apoiar o AUS a ligar tarefas de usuario a features da aplicacao no Agile-UCD.,Abstract e Secao I Introduction (p.317),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ2,O contexto de desenvolvimento de software/digital esta descrito?,1,Contexto de desenvolvimento Agile-UCD para aplicacoes interativas ricas e moveis claramente descrito incluindo exemplos de app movel de reserva de hotel e de leilao.,Secao I (p.317) e Secao V Example (p.321),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ3,A abordagem de ER e explicitada?,1,ER explicita como metodo de analise/especificacao de requisitos usando use cases essenciais e notacoes UML estendidas (Contextual Link Model) para o AUS.,Secao IV Approach (p.318-319),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ4,A abordagem de design e explicitada?,1,Abordagem de design explicita UCD/UX no contexto Agile-UCD com uso de UI design patterns e usability patterns/properties.,Secao I e Secao IV-B UI Usability Pattern Analysis (p.317 e p.320),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,"Integracao detalhada via Contextual Link Model Analysis e UI Usability Pattern Analysis com estereotipos de classes, notacoes, workflows e mapeamento de padroes de usabilidade as features.",Secao IV (p.318-321) Figuras 1-7 e Tabelas I-II,Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ6,Ha evidencias empiricas relato de aplicacao ou avaliacao da abordagem?,1,Avaliacao empirica real com 10 AUSs seniores medindo tempo de modelagem (ME-I) e quatro criterios via questionario Likert (ME-II a ME-IV) com resultados quantitativos alem do exemplo ilustrativo.,Secao VI Evaluation (p.322-325) Figuras 8-11,Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ7,Beneficios limitacoes ou desafios sao relatados?,1,"Beneficios (comunicacao e colaboracao, reducao de riscos de usabilidade) e limitacoes (necessidade de treinamento, dificuldade com UML estendida, tarefas que nao convertem em features) relatados.",Secao VII Conclusion (p.325-326),Ok
E12,"Lee, S. H.; Ko, I. Y.; Kang, S.; Lee, D. H. (2010). A usability-pattern-based requirements-analysis method to bridge the gap between user tasks and application features. COMPSAC 2010, IEEE.",AQ8,As ameacas a validade limitacoes ou condicoes de aplicabilidade sao discutidas?,0.5,"Discute limitacoes do metodo/proposta e condicoes de aplicabilidade, mas nao discute ameacas a validade da evidencia empirica (n=10, ausencia de grupo de controle, generalizacao, vies designer vs developer-native).",Secao VII (p.325-326),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ1,O objetivo do estudo esta claramente definido?,1,"Objetivo explicito de descrever o design e desenvolvimento de um assistente digital por voz para pacientes hospitalizados em casa e seus cuidadores, com contribuicao tripla declarada (processo de design, metodologia HCD de avaliacao, resultados preliminares).",Secao I Introduction (p.1),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ2,O contexto de desenvolvimento de software/digital esta descrito?,1,"Contexto digital bem descrito: voice app (Alexa Skill) com conteudo multimidia, arquitetura de sistema com modulos de intent recognition, dialogue manager e repositorio de videos, executado em dispositivos Echo Show.",Secao III System Architecture e Fig. 1 (p.2-3),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ3,A abordagem de ER e explicitada?,1,"ER explicitada: fase de requirements gathering com 21 entrevistas a stakeholders, mapeamento estruturado de requisitos por cenario (Tabela I) e rastreamento dos requisitos as decisoes de design.",Secao II User Experience and Requirements Mapping e Tabela I (p.2),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ4,A abordagem de design e explicitada?,1,"Abordagem de design explicita: human-centered design e co-design (titulo e keywords), com participacao ativa de pacientes, cuidadores e clinicos no levantamento de requisitos e validacao das utterances por enfermeiros e medicos.","Index Terms e Secao II/III (p.1-3), Agradecimentos (p.4)",Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,"Integracao ER-design descrita com detalhe: cada requisito mapeado (A.1.a, A.2.a, B.3.b etc.) e traduzido em decisao de design da interface voice-first, mostrando como o levantamento conduziu as escolhas funcionais do sistema.",Secao II-B Definition of Requirements (p.2) e Secao III (p.2-3),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ6,Ha evidencias empiricas relato de aplicacao ou avaliacao da abordagem?,1,"Evidencia empirica real: experimentacao com 11 cuidadores e 14 profissionais de saude (jan-mar 2021), questionario pos-teste com escala Likert e resultados quantitativos reportados (Tabela II).","Secao IV Experimentation e Secao V Discussion, Tabela II (p.3)",Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ7,Beneficios limitacoes ou desafios sao relatados?,1,"Beneficios (empoderamento do cuidador, ferramenta educacional, menos chamadas as enfermeiras) e limitacoes da tecnologia (comando de voz dificil de memorizar, conteudo multimidia faltante, barreira de idioma) relatados explicitamente.",Secao V Discussion e Secao V-A Limits of the technology (p.3-4),Ok
E14,"Alloatti, F.; Tasso, R.; Bolioli, A.; Messina, E.; Cantu, D.; Guidorzi, E.; Agamennone, C.; Brunetti, E.; Marinello, R. (2021). Can You Help Me Measure My Blood Sugar? Co-design of a Voice Interface to Assist Patients and Caregivers at Home. ISCC 2021, IEEE.",AQ8,As ameacas a validade limitacoes ou condicoes de aplicabilidade sao discutidas?,0.5,"Discute limitacoes da tecnologia/proposta e reconhece resultados preliminares e amostra pequena (planeja expandir o pool de sujeitos), mas nao ha discussao estruturada de ameacas a validade da evidencia (ausencia de baseline/grupo controle, vies de auto-relato, generalizacao). Cobre so uma das duas dimensoes.",Secao V-A (p.4) e Secao VI Conclusion and Future Work (p.4),Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ1,O objetivo do estudo esta claramente definido?,1,"Objetivo explicito de apresentar o design de uma aplicacao Web social para urbanismo colaborativo em cidades cognitivas, com tres contribuicoes declaradas (especificacao de requisitos funcionais, prototipo nao-funcional, componentes inteligentes).",Abstract e Secao I Introduction (contribuicoes) (p.80-82),Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ2,O contexto de desenvolvimento de software/digital esta descrito?,1,"Contexto digital descrito: plataforma Web social com componentes inteligentes (ML, Text Mining, NLP) para planejamento urbano colaborativo, ilustrada por mock-ups de telas e formularios (Figuras 1-6).",Secao IV-C/D e Secao V (Figuras 1-6) (p.83-85),Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ3,A abordagem de ER e explicitada?,1,"ER explicita como atividade do estudo: especificacao de requisitos funcionais a partir de analise de survey, com user stories, identificacao de atores e use cases (11 cenarios em tres dimensoes).",Secao IV-B Functional Requirements Specification (p.83),Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ4,A abordagem de design e explicitada?,0.5,"A abordagem de design aparece apenas como prototipacao com mock-ups e avaliacao qualitativa com usuarios; nao ha uma abordagem de design centrada no usuario formalmente nomeada ou descrita metodologicamente (co-creation refere-se a co-criacao urbana de cidadaos, nao a co-design de software).",Secao IV-D Low-level Prototype Design (p.84-85),Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ5,A forma de integracao entre ER e design e descrita com detalhes suficientes?,1,Integracao ER-design descrita de forma rastreavel: os requisitos funcionais (use cases) sao mapeados nos mock-ups (requirements are mapped in the mock-ups design) e os mock-ups sao usados para confirmar e refinar os proprios requisitos durante a avaliacao.,"Secao I (fase iii) e Secao IV-D (p.81, p.84-85)",Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ6,Ha evidencias empiricas relato de aplicacao ou avaliacao da abordagem?,1,"Ha relato de aplicacao real: survey aplicado a 1606 cidadaos em Quito e 1248 em Portoviejo, e avaliacao do prototipo em tres sessoes com representantes da Municipalidade de Quito (IT e Planejamento Urbano), gerando versoes melhoradas.","Secao IV-A (survey) e Secao V Main Prototype Screens after Evaluation (p.82, p.85)",Ok
E19,"Recalde, L.; Jimenez-Pacheco, P.; Mendoza, K.; Meza, J. (2020). Collaboration-based Urban Planning Platform: Modeling Cognition to Co-create Cities. ISI 2020, IEEE.",AQ7,Beneficios limitacoes ou desafios sao relatados?,0.5,"Beneficios sao relatados (melhoria das condicoes de vida, mock-ups como meio eficaz de comunicar requisitos, deteccao de ambiguidades nos modelos inteligentes). Limitacoes/desafios do trabalho aparecem apenas de forma implicita (avaliacao so qualitativa, prototipo nao-funcional, avaliadores restritos a Quito) sem discussao explicita dedicada.",Secao IV-D e Secao VI Conclusions (p.84-86),Ok
